:0;:1;:2;u_x;u_y;u_z
9.05;0.45;0;0.00E+00;0.00E+00;1.85E-09
9.05;0.5;0;0.00E+00;0.00E+00;1.35E-08
9.05;0.55;0;0.00E+00;0.00E+00;2.00E-09
9.05;0.6;0;0.00E+00;0.00E+00;1.35E-08
9.05;0.65;0;0.00E+00;0.00E+00;2.07E-09
9.05;0.7;0;0.00E+00;0.00E+00;1.34E-08
9.05;0.75;0;0.00E+00;0.00E+00;2.05E-09
9.05;0.8;0;0.00E+00;0.00E+00;1.33E-08
9.05;0.85;0;0.00E+00;0.00E+00;1.93E-09
9.05;0.9;0;0.00E+00;0.00E+00;1.32E-08
9.05;0.95;0;0.00E+00;0.00E+00;1.39E-09
9.1;0.95;0;0.00E+00;0.00E+00;1.31E-08
9.15;0.95;0;0.00E+00;0.00E+00;2.20E-09
9.2;0.95;0;0.00E+00;0.00E+00;1.28E-08
9.25;0.95;0;0.00E+00;0.00E+00;2.34E-09
9.3;0.95;0;0.00E+00;0.00E+00;1.23E-08
9.35;0.95;0;0.00E+00;0.00E+00;2.01E-09
9.4;0.95;0;0.00E+00;0.00E+00;1.13E-08
9.45;0.95;0;0.00E+00;0.00E+00;1.72E-09
9.5;0.95;0;0.00E+00;0.00E+00;1.02E-08
9.55;0.95;0;0.00E+00;0.00E+00;1.80E-09
9.6;0.95;0;0.00E+00;0.00E+00;8.73E-09
9.65;0.95;0;0.00E+00;0.00E+00;1.80E-09
9.7;0.95;0;0.00E+00;0.00E+00;6.82E-09
9.75;0.95;0;0.00E+00;0.00E+00;1.23E-09
9.8;0.95;0;0.00E+00;0.00E+00;4.48E-09
9.85;0.95;0;0.00E+00;0.00E+00;4.46E-10
9.9;0.95;0;0.00E+00;0.00E+00;2.07E-09
9.95;0.95;0;0.00E+00;0.00E+00;-3.77E-12
10;0.95;0;0.00E+00;0.00E+00;0.00E+00
9;0;0;0.00E+00;0.00E+00;2.93E-09
9;0.05;0;0.00E+00;0.00E+00;1.46E-08
9;0.1;0;0.00E+00;0.00E+00;1.97E-09
9;0.15;0;0.00E+00;0.00E+00;1.42E-08
9;0.2;0;0.00E+00;0.00E+00;1.59E-09
9;0.25;0;0.00E+00;0.00E+00;1.39E-08
9;0.3;0;0.00E+00;0.00E+00;1.96E-09
9;0.35;0;0.00E+00;0.00E+00;1.38E-08
9;0.4;0;0.00E+00;0.00E+00;2.02E-09
9;0.45;0;0.00E+00;0.00E+00;1.37E-08
9;0.5;0;0.00E+00;0.00E+00;2.08E-09
9;0.55;0;0.00E+00;0.00E+00;1.36E-08
9;0.6;0;0.00E+00;0.00E+00;2.06E-09
9;0.65;0;0.00E+00;0.00E+00;1.35E-08
9;0.7;0;0.00E+00;0.00E+00;1.94E-09
9;0.75;0;0.00E+00;0.00E+00;1.34E-08
9;0.8;0;0.00E+00;0.00E+00;1.88E-09
9;0.85;0;0.00E+00;0.00E+00;1.33E-08
9;0.9;0;0.00E+00;0.00E+00;1.70E-09
9;0.95;0;0.00E+00;0.00E+00;1.32E-08
9;1;0;0.00E+00;0.00E+00;0.00E+00
9.05;1;0;0.00E+00;0.00E+00;1.31E-08
9.1;1;0;0.00E+00;0.00E+00;1.99E-09
9.15;1;0;0.00E+00;0.00E+00;1.30E-08
9.2;1;0;0.00E+00;0.00E+00;2.46E-09
9.25;1;0;0.00E+00;0.00E+00;1.26E-08
9.3;1;0;0.00E+00;0.00E+00;2.33E-09
9.35;1;0;0.00E+00;0.00E+00;1.18E-08
9.4;1;0;0.00E+00;0.00E+00;2.05E-09
9.45;1;0;0.00E+00;0.00E+00;1.08E-08
9.5;1;0;0.00E+00;0.00E+00;2.02E-09
9.55;1;0;0.00E+00;0.00E+00;9.55E-09
9.6;1;0;0.00E+00;0.00E+00;2.07E-09
9.65;1;0;0.00E+00;0.00E+00;7.89E-09
