Points:0;Points:1;Points:2;u_x;u_y;u_z
0.6;0.9;0;0.00E+00;0.00E+00;-3.45E-08
0.55;0.9;0;0.00E+00;0.00E+00;1.52E-07
0.5;0.9;0;0.00E+00;0.00E+00;-1.36E-08
0.45;0.9;0;0.00E+00;0.00E+00;1.26E-07
0.4;0.9;0;0.00E+00;0.00E+00;-1.09E-08
0.35;0.9;0;0.00E+00;0.00E+00;9.86E-08
0.3;0.9;0;0.00E+00;0.00E+00;-7.33E-09
0.25;0.9;0;0.00E+00;0.00E+00;6.89E-08
0.2;0.9;0;0.00E+00;0.00E+00;-5.79E-09
0.15;0.9;0;0.00E+00;0.00E+00;3.87E-08
0.1;0.9;0;0.00E+00;0.00E+00;-4.53E-09
0.05;0.9;0;0.00E+00;0.00E+00;1.14E-08
0;0.9;0;0.00E+00;0.00E+00;0.00E+00
0.95;0;0;0.00E+00;0.00E+00;3.23E-07
0.95;0.05;0;0.00E+00;0.00E+00;-2.06E-08
0.95;0.1;0;0.00E+00;0.00E+00;3.10E-07
0.95;0.15;0;0.00E+00;0.00E+00;0.00E+00
0.95;0.2;0;0.00E+00;0.00E+00;2.93E-07
0.95;0.25;0;0.00E+00;0.00E+00;-6.79E-08
0.95;0.3;0;0.00E+00;0.00E+00;2.79E-07
0.95;0.35;0;0.00E+00;0.00E+00;-9.54E-08
0.95;0.4;0;0.00E+00;0.00E+00;2.74E-07
0.95;0.45;0;0.00E+00;0.00E+00;-1.13E-07
0.95;0.5;0;0.00E+00;0.00E+00;2.73E-07
0.95;0.55;0;0.00E+00;0.00E+00;-1.26E-07
0.95;0.6;0;0.00E+00;0.00E+00;2.78E-07
0.95;0.65;0;0.00E+00;0.00E+00;-1.29E-07
0.95;0.7;0;0.00E+00;0.00E+00;2.93E-07
0.95;0.75;0;0.00E+00;0.00E+00;-1.13E-07
0.95;0.8;0;0.00E+00;0.00E+00;3.16E-07
0.95;0.85;0;0.00E+00;0.00E+00;-8.81E-08
0.95;0.9;0;0.00E+00;0.00E+00;3.38E-07
0.95;0.95;0;0.00E+00;0.00E+00;-6.15E-08
0.9;0.95;0;0.00E+00;0.00E+00;2.94E-07
0.85;0.95;0;0.00E+00;0.00E+00;-9.80E-08
0.8;0.95;0;0.00E+00;0.00E+00;2.26E-07
0.75;0.95;0;0.00E+00;0.00E+00;-8.78E-08
0.7;0.95;0;0.00E+00;0.00E+00;1.88E-07
0.65;0.95;0;0.00E+00;0.00E+00;-5.78E-08
0.6;0.95;0;0.00E+00;0.00E+00;1.62E-07
0.55;0.95;0;0.00E+00;0.00E+00;-3.02E-08
0.5;0.95;0;0.00E+00;0.00E+00;1.37E-07
0.45;0.95;0;0.00E+00;0.00E+00;-1.72E-08
0.4;0.95;0;0.00E+00;0.00E+00;1.11E-07
0.35;0.95;0;0.00E+00;0.00E+00;-1.10E-08
0.3;0.95;0;0.00E+00;0.00E+00;8.26E-08
0.25;0.95;0;0.00E+00;0.00E+00;-7.52E-09
0.2;0.95;0;0.00E+00;0.00E+00;5.29E-08
0.15;0.95;0;0.00E+00;0.00E+00;-4.99E-09
0.1;0.95;0;0.00E+00;0.00E+00;2.43E-08
0.05;0.95;0;0.00E+00;0.00E+00;-2.67E-09
0;0.95;0;0.00E+00;0.00E+00;0.00E+00
1;0;0;0.00E+00;0.00E+00;-1.47E-08
1;0.05;0;0.00E+00;0.00E+00;3.49E-07
1;0.1;0;0.00E+00;0.00E+00;-2.30E-08
1;0.15;0;0.00E+00;0.00E+00;3.30E-07
1;0.2;0;0.00E+00;0.00E+00;-5.51E-08
1;0.25;0;0.00E+00;0.00E+00;3.09E-07
1;0.3;0;0.00E+00;0.00E+00;-1.00E-07
1;0.35;0;0.00E+00;0.00E+00;2.99E-07
1;0.4;0;0.00E+00;0.00E+00;-1.20E-07
1;0.45;0;0.00E+00;0.00E+00;2.99E-07
1;0.5;0;0.00E+00;0.00E+00;-1.32E-07
1;0.55;0;0.00E+00;0.00E+00;3.08E-07
1;0.6;0;0.00E+00;0.00E+00;-1.29E-07
1;0.65;0;0.00E+00;0.00E+00;3.28E-07
1;0.7;0;0.00E+00;0.00E+00;-1.14E-07
1;0.75;0;0.00E+00;0.00E+00;3.56E-07
1;0.8;0;0.00E+00;0.00E+00;-8.22E-08
1;0.85;0;0.00E+00;0.00E+00;3.87E-07
1;0.9;0;0.00E+00;0.00E+00;-4.25E-08
1;0.95;0;0.00E+00;0.00E+00;4.14E-07
1;1;0;0.00E+00;0.00E+00;0.00E+00
0.95;1;0;0.00E+00;0.00E+00;3.51E-07
0.9;1;0;0.00E+00;0.00E+00;-8.71E-08
0.85;1;0;0.00E+00;0.00E+00;2.56E-07
0.8;1;0;0.00E+00;0.00E+00;-9.80E-08
0.75;1;0;0.00E+00;0.00E+00;2.04E-07
0.7;1;0;0.00E+00;0.00E+00;-7.56E-08
0.65;1;0;0.00E+00;0.00E+00;1.72E-07
0.6;1;0;0.00E+00;0.00E+00;-4.67E-08
0.55;1;0;0.00E+00;0.00E+00;1.47E-07
0.5;1;0;0.00E+00;0.00E+00;-2.71E-08
0.45;1;0;0.00E+00;0.00E+00;1.21E-07
0.4;1;0;0.00E+00;0.00E+00;-1.74E-08
0.35;1;0;0.00E+00;0.00E+00;9.46E-08
0.3;1;0;0.00E+00;0.00E+00;-1.20E-08
0.25;1;0;0.00E+00;0.00E+00;6.62E-08
0.2;1;0;0.00E+00;0.00E+00;-6.04E-09
0.15;1;0;0.00E+00;0.00E+00;3.78E-08
0.1;1;0;0.00E+00;0.00E+00;-2.90E-09
0.05;1;0;0.00E+00;0.00E+00;1.12E-08
0;1;0;0.00E+00;0.00E+00;0.00E+00
1.05;0;0;0.00E+00;0.00E+00;3.96E-07
1.05;0.05;0;0.00E+00;0.00E+00;-1.50E-08
1.05;0.1;0;0.00E+00;0.00E+00;3.77E-07
1.05;0.15;0;0.00E+00;0.00E+00;-4.56E-08
1.05;0.2;0;0.00E+00;0.00E+00;3.52E-07
